

-- Histograms -----------------------------------------------------------------


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=3, min=6, max=124, mean=45.33333333333333, stddev=68.12733176437584, p50=6.0, p75=124.0, p95=124.0, p98=124.0, p99=124.0, p999=124.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-5, max=5, mean=0.890625, stddev=2.137900858024094, p50=1.0, p75=2.75, p95=4.0, p98=5.0, p99=5.0, p999=5.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-5, max=5, mean=0.8984375, stddev=2.1327585322049267, p50=1.0, p75=2.75, p95=4.0, p98=5.0, p99=5.0, p999=5.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-6, max=5, mean=0.6640625, stddev=2.2211486839871735, p50=1.0, p75=2.0, p95=4.0, p98=5.0, p99=5.0, p999=5.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-6, max=5, mean=0.671875, stddev=2.2170043454437645, p50=1.0, p75=2.0, p95=4.0, p98=5.0, p99=5.0, p999=5.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-6, max=5, mean=0.4375, stddev=2.219278452649352, p50=0.0, p75=2.0, p95=4.0, p98=4.420000000000002, p99=5.0, p999=5.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-6, max=5, mean=0.4453125, stddev=2.2159358192687146, p50=0.0, p75=2.0, p95=4.0, p98=4.420000000000002, p99=5.0, p999=5.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-6, max=5, mean=0.2109375, stddev=2.261113737662409, p50=0.0, p75=2.0, p95=4.0, p98=4.420000000000002, p99=5.0, p999=5.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-6, max=5, mean=0.21875, stddev=2.258623021390667, p50=0.0, p75=2.0, p95=4.0, p98=4.420000000000002, p99=5.0, p999=5.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-6, max=5, mean=-0.1171875, stddev=2.3058333890613683, p50=0.0, p75=2.0, p95=3.0, p98=4.0, p99=4.709999999999994, p999=5.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-6, max=5, mean=-0.109375, stddev=2.304512434128989, p50=0.0, p75=2.0, p95=3.0, p98=4.0, p99=4.709999999999994, p999=5.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-7, max=4, mean=-0.40625, stddev=2.3956571600181977, p50=0.0, p75=2.0, p95=3.0, p98=4.0, p99=4.0, p999=4.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-6, max=4, mean=-0.390625, stddev=2.375181302653008, p50=0.0, p75=2.0, p95=3.0, p98=4.0, p99=4.0, p999=4.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-7, max=4, mean=-0.71875, stddev=2.455710042131119, p50=-1.0, p75=1.0, p95=3.0, p98=3.0, p99=3.7099999999999937, p999=4.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-6, max=4, mean=-0.6875, stddev=2.4163159307436093, p50=-1.0, p75=1.0, p95=3.0, p98=3.0, p99=3.7099999999999937, p999=4.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-7, max=3, mean=-0.9453125, stddev=2.4181355274537153, p50=-1.0, p75=1.0, p95=3.0, p98=3.0, p99=3.0, p999=3.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-6, max=3, mean=-0.9140625, stddev=2.3811177939822503, p50=-1.0, p75=1.0, p95=3.0, p98=3.0, p99=3.0, p999=3.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-7, max=3, mean=-1.1796875, stddev=2.4412259529882334, p50=-1.0, p75=0.0, p95=3.0, p98=3.0, p99=3.0, p999=3.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-6, max=3, mean=-1.1484375, stddev=2.4076317103651683, p50=-1.0, p75=0.0, p95=3.0, p98=3.0, p99=3.0, p999=3.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-7, max=3, mean=-1.4765625, stddev=2.465397841271877, p50=-1.0, p75=0.0, p95=2.0, p98=3.0, p99=3.0, p999=3.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-6, max=3, mean=-1.4453125, stddev=2.435978982331786, p50=-1.0, p75=0.0, p95=2.0, p98=3.0, p99=3.0, p999=3.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-8, max=3, mean=-1.71875, stddev=2.5127626982969873, p50=-1.0, p75=0.0, p95=2.0, p98=3.0, p99=3.0, p999=3.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-8, max=3, mean=-1.6875, stddev=2.486973938359375, p50=-1.0, p75=0.0, p95=2.0, p98=3.0, p99=3.0, p999=3.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-8, max=3, mean=-1.984375, stddev=2.471839427932226, p50=-2.0, p75=0.0, p95=2.0, p98=2.4200000000000017, p99=3.0, p999=3.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-8, max=3, mean=-1.953125, stddev=2.4490376544820345, p50=-2.0, p75=0.0, p95=2.0, p98=2.4200000000000017, p99=3.0, p999=3.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-8, max=3, mean=-2.21875, stddev=2.5127626982969873, p50=-2.0, p75=0.0, p95=2.0, p98=2.0, p99=2.7099999999999937, p999=3.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-8, max=3, mean=-2.1875, stddev=2.4932981035309165, p50=-2.0, p75=0.0, p95=2.0, p98=2.0, p99=2.7099999999999937, p999=3.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-8, max=2, mean=-2.4765625, stddev=2.5808649095026968, p50=-2.0, p75=-1.0, p95=2.0, p98=2.0, p99=2.0, p999=2.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-8, max=2, mean=-2.4453125, stddev=2.5650853579755952, p50=-2.0, p75=-0.25, p95=2.0, p98=2.0, p99=2.0, p999=2.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-8, max=2, mean=-2.734375, stddev=2.5610171914921054, p50=-2.0, p75=-1.0, p95=1.0, p98=2.0, p99=2.0, p999=2.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-8, max=2, mean=-2.703125, stddev=2.548303048147306, p50=-2.0, p75=-1.0, p95=1.0, p98=2.0, p99=2.0, p999=2.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-8, max=2, mean=-3.03125, stddev=2.5096271329535575, p50=-3.0, p75=-1.0, p95=1.0, p98=1.4200000000000017, p99=2.0, p999=2.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-8, max=2, mean=-3.0, stddev=2.5003936697922207, p50=-3.0, p75=-1.0, p95=1.0, p98=1.4200000000000017, p99=2.0, p999=2.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-9, max=1, mean=-3.328125, stddev=2.52268253360472, p50=-3.0, p75=-1.0, p95=0.0, p98=1.0, p99=1.0, p999=1.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-9, max=1, mean=-3.296875, stddev=2.517214355241965, p50=-3.0, p75=-1.0, p95=0.0, p98=1.0, p99=1.0, p999=1.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-9, max=1, mean=-3.5625, stddev=2.5495097567963922, p50=-4.0, p75=-1.0, p95=0.0, p98=1.0, p99=1.0, p999=1.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-9, max=1, mean=-3.53125, stddev=2.5469991606613163, p50=-4.0, p75=-1.0, p95=0.0, p98=1.0, p99=1.0, p999=1.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-9, max=1, mean=-3.8125, stddev=2.537125908191343, p50=-4.0, p75=-2.0, p95=0.0, p98=1.0, p99=1.0, p999=1.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-9, max=1, mean=-3.78125, stddev=2.537707751085861, p50=-4.0, p75=-2.0, p95=0.0, p98=1.0, p99=1.0, p999=1.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-9, max=1, mean=-3.984375, stddev=2.462264417765104, p50=-4.0, p75=-2.0, p95=0.0, p98=1.0, p99=1.0, p999=1.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-9, max=1, mean=-3.953125, stddev=2.465060970960187, p50=-4.0, p75=-2.0, p95=0.0, p98=1.0, p99=1.0, p999=1.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-9, max=1, mean=-4.1875, stddev=2.429315706767979, p50=-5.0, p75=-2.0, p95=0.0, p98=0.4200000000000017, p99=1.0, p999=1.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-9, max=1, mean=-4.15625, stddev=2.4347791699247003, p50=-5.0, p75=-2.0, p95=0.0, p98=0.4200000000000017, p99=1.0, p999=1.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-9, max=1, mean=-4.390625, stddev=2.4341221800479893, p50=-5.0, p75=-2.25, p95=0.0, p98=0.4200000000000017, p99=1.0, p999=1.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-9, max=1, mean=-4.3515625, stddev=2.4320363255873416, p50=-5.0, p75=-2.0, p95=0.0, p98=0.4200000000000017, p99=1.0, p999=1.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-9, max=0, mean=-4.625, stddev=2.2934346556387952, p50=-5.0, p75=-3.0, p95=-0.45000000000000284, p98=0.0, p99=0.0, p999=0.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-9, max=0, mean=-4.5859375, stddev=2.295244463160578, p50=-5.0, p75=-3.0, p95=0.0, p98=0.0, p99=0.0, p999=0.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-11, max=0, mean=-4.8046875, stddev=2.3039117496973924, p50=-5.0, p75=-3.0, p95=-1.0, p98=0.0, p99=0.0, p999=0.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-11, max=0, mean=-4.765625, stddev=2.3087794607595584, p50=-5.0, p75=-3.0, p95=-0.45000000000000284, p98=0.0, p99=0.0, p999=0.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-11, max=0, mean=-5.0546875, stddev=2.308179886786075, p50=-5.0, p75=-4.0, p95=-1.0, p98=0.0, p99=0.0, p999=0.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-11, max=0, mean=-5.015625, stddev=2.3172899424037023, p50=-5.0, p75=-4.0, p95=-1.0, p98=0.0, p99=0.0, p999=0.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-11, max=-1, mean=-5.3515625, stddev=2.190134802416487, p50=-5.5, p75=-4.0, p95=-1.0, p98=-1.0, p99=-1.0, p999=-1.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-11, max=0, mean=-5.3125, stddev=2.2050407534577334, p50=-5.0, p75=-4.0, p95=-1.0, p98=-1.0, p99=-0.29000000000000625, p999=0.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-11, max=-1, mean=-5.5859375, stddev=2.0716585608911005, p50=-6.0, p75=-4.25, p95=-2.0, p98=-1.0, p99=-1.0, p999=-1.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-11, max=-1, mean=-5.5546875, stddev=2.0727272678217106, p50=-6.0, p75=-4.25, p95=-2.0, p98=-1.0, p99=-1.0, p999=-1.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-11, max=-1, mean=-5.796875, stddev=2.0634020337190484, p50=-6.0, p75=-5.0, p95=-2.0, p98=-1.5799999999999983, p99=-1.0, p999=-1.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-11, max=-1, mean=-5.765625, stddev=2.0676906171352076, p50=-6.0, p75=-5.0, p95=-2.0, p98=-1.5799999999999983, p99=-1.0, p999=-1.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-11, max=-2, mean=-6.0234375, stddev=2.0330530307850436, p50=-6.0, p75=-5.0, p95=-2.0, p98=-2.0, p99=-2.0, p999=-2.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-11, max=-2, mean=-5.9921875, stddev=2.040904901008528, p50=-6.0, p75=-5.0, p95=-2.0, p98=-2.0, p99=-2.0, p999=-2.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-11, max=-2, mean=-6.2421875, stddev=2.006862610985136, p50=-6.0, p75=-5.0, p95=-3.0, p98=-2.0, p99=-2.0, p999=-2.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-11, max=-2, mean=-6.2109375, stddev=2.0182332015665367, p50=-6.0, p75=-5.0, p95=-2.450000000000003, p98=-2.0, p99=-2.0, p999=-2.0
